# player-vocabulary-allow.tsv — the private-vocabulary words in player copy that STAY, one per row.
#
# Read by `scripts/check-player-vocabulary.py`. Four TAB-separated fields:
#
#     path <TAB> term <TAB> the exact text, with \n \t \r \\ escaped <TAB> why the word stays
#
# ⚑ KEYED BY THE TEXT, NOT THE LINE. Lanes move lines all day; a line-number key rots into a
#   blanket ignore inside a day. Keying on the text is also the ratchet's second edge: a row whose
#   text is no longer at that path FAILS the gate. Fixing a string RETIRES its exemption instead of
#   leaving a permission slip behind for the next `receipt` to walk through.
#
# ⚑ A ROW IS AN ARGUMENT, NOT A MUTE. The reason field is required and the gate refuses an empty
#   one. "operator output", "a JSON error body", "a test fixture" and "a CSS class name" are NOT
#   reasons to write here: those are rules R3, R5, R2 and R6 inside the checker, and a site of that
#   kind being reported means the RULE is wrong and should be fixed. Two rules were in fact fixed
#   rather than allowlisted while this file was being written (`fhegg_operation.rs` moved to
#   `NOT_PLAYER_SURFACES` because it renders no markup at all; `descent.rs`'s pointer-width refusal
#   was simply rewritten, since "exceeds this executor target" named the wrong limit anyway).
#
#   What belongs here is a site where the word is doing a job no plain equivalent does, or a file
#   this pass was not permitted to edit. The second kind is DEBT and every such row says so.
#
# As of 2026-07-26 there are 6 rows, ALL of the second kind — both files were held by other live
# lanes during the widening pass, so the copy fix could not land with the gate. Nothing here is a
# claim that the word is right; each row carries the replacement it is waiting for.

# ── DEBT · `dreggnet-web/src/descent_play.rs` (`/descent/play`, `?engine=browser`) ──────────────
# The flagship played in the reader's own tab. Its copy is in a JavaScript module inside a Rust
# literal, and the file was owned by another lane for this pass.
dreggnet-web/src/descent_play.rs	receipt	· receipt	DEBT · the post-turn line reads "Turn committed · revision N · receipt <short hash>". The hash is the player's handle on that move; the label should say what it hands them, e.g. " · this move: ". File held by another lane this pass.
dreggnet-web/src/descent_play.rs	executor	the native executor declined the move	DEBT · the fallback text when the in-tab engine refuses without a reason of its own. Should read "the rules did not allow that move". File held by another lane this pass.
dreggnet-web/src/descent_play.rs	receipt	receipts.	DEBT · "Fresh replay accepted all N receipts." Should count what a player recognises: "Fresh replay accepted all N moves." File held by another lane this pass.

# ── DEBT · `dreggnet-web/src/tug_web.rs` (`/tug`) ───────────────────────────────────────────────
# The tug table's own rules panel. Note this file ALREADY defines `guild`/`lane` in place, which is
# why those two are not on the banned list at all; `fog` and `executor` are the residue.
dreggnet-web/src/tug_web.rs	fog	All of it: the deck, the fog, scoring, and what this build does not do	DEBT · the `<summary>` of the expanded rules. `fog` is the internal name for per-viewer hiding and the panel already explains the mechanism two bullets down ("How the hand is hidden"), so the summary should say "the hidden hand". File held by another lane this pass.
dreggnet-web/src/tug_web.rs	executor	a card. That {deck} is a conservation tooth the executor enforces: no favor is conjured or destroyed for the length of a round.	DEBT · should name the effect rather than the component: "no favor is conjured or destroyed for the length of a round, and a turn that would is refused". File held by another lane this pass.
dreggnet-web/src/tug_web.rs	executor	names them: 11 influence takes it outright, else leading 4 lanes. Short of either bar the round is still decided, on the higher total influence, else the more lanes held; and only an exact dead heat on both is a draw. Every one of those clauses is a tooth: the executor refuses a claimed win the rules do not make.	DEBT · same fix as the row above: "a claimed win the rules do not make is refused". File held by another lane this pass.
